Date,Open,High,Low,Close,Adj Close,Volume
2021-12-14,50401.218750,51481.699219,50291.019531,51241.468750,51241.468750,238023800
2021-12-15,51141.390625,51291.031250,50728.988281,51163.660156,51163.660156,182077000
2021-12-16,51264.558594,51899.871094,51147.281250,51384.058594,51384.058594,142780800
2021-12-17,51296.058594,52477.828125,51227.199219,52379.371094,52379.371094,510546300
2021-12-20,52333.261719,52333.261719,51319.550781,51623.859375,51623.859375,121895900
2021-12-21,51916.019531,52188.410156,51593.921875,52085.281250,52085.281250,144351900
2021-12-22,52146.011719,52450.851563,51956.988281,52403.050781,52403.050781,113832100
2021-12-23,52413.558594,52872.738281,52355.351563,52650.910156,52650.910156,96501500
2021-12-24,52615.281250,52901.718750,52548.589844,52853.378906,52853.378906,5240400
2021-12-27,52853.660156,53309.511719,52558.851563,53259.558594,53259.558594,60916800
2021-12-28,53201.691406,53630.531250,53106.398438,53238.480469,53238.480469,84095500
2021-12-29,53223.761719,53500.320313,52668.339844,52748.929688,52748.929688,57322300
2021-12-30,52809.781250,53253.621094,52752.730469,53175.250000,53175.250000,83757300
2021-12-31,53099.769531,53387.218750,53011.070313,53272.441406,53272.441406,48616100
2022-01-03,53278.109375,53603.828125,52901.710938,52941.011719,52941.011719,56603700
2022-01-04,53073.078125,53334.000000,52888.730469,53016.781250,53016.781250,105053500
2022-01-05,52927.531250,53253.070313,52909.789063,53024.148438,53024.148438,110514300
2022-01-06,52964.671875,53145.808594,52768.808594,53055.308594,53055.308594,145921900
2022-01-07,53020.128906,53244.910156,52896.250000,53202.109375,53202.109375,104193500
2022-01-10,53202.839844,53301.941406,52809.109375,52835.761719,52835.761719,116966800
2022-01-11,52841.050781,53121.468750,52740.351563,53061.921875,53061.921875,167682100
2022-01-12,53068.121094,53991.328125,53068.121094,53951.140625,53951.140625,161608700
2022-01-13,53981.550781,54102.488281,53793.750000,53930.449219,53930.449219,172794800
2022-01-14,53824.769531,53861.710938,53476.910156,53744.921875,53744.921875,135837800
2022-01-17,53742.371094,54219.140625,53742.371094,53973.269531,53973.269531,34731100
2022-01-18,53985.460938,53987.628906,53187.460938,53232.199219,53232.199219,141857000
2022-01-19,53239.988281,53402.441406,52679.179688,52823.230469,52823.230469,159266300
2022-01-20,52826.230469,53017.390625,52424.699219,52508.351563,52508.351563,144882400
2022-01-21,52432.070313,52432.070313,51386.679688,51599.378906,51599.378906,192929500
2022-01-24,51578.421875,51578.421875,49673.640625,50890.589844,50890.589844,212713200
2022-01-25,50792.000000,51285.480469,50006.648438,51104.390625,51104.390625,220721800
2022-01-26,51314.269531,51507.878906,50871.679688,51037.050781,51037.050781,199201500
2022-01-27,51208.230469,51282.031250,50408.578125,50466.019531,50466.019531,203835100
2022-01-28,50522.000000,50919.378906,50101.929688,50661.859375,50661.859375,214808200
2022-01-31,50670.281250,51569.261719,50631.621094,51330.851563,51330.851563,229565500
2022-02-01,51511.269531,51856.281250,51290.789063,51782.671875,51782.671875,138327000
2022-02-02,51849.761719,52120.640625,51766.160156,52023.269531,52023.269531,98044700
2022-02-03,51846.449219,51885.371094,51099.890625,51145.109375,51145.109375,147091600
2022-02-04,51101.230469,51436.941406,50850.320313,51255.308594,51255.308594,122401900
2022-02-08,51281.261719,52340.031250,51011.871094,52294.578125,52294.578125,175285900
2022-02-09,52470.738281,52816.789063,52314.050781,52761.910156,52761.910156,178162400
2022-02-10,52679.941406,52903.148438,52371.929688,52599.578125,52599.578125,256316700
2022-02-11,52512.058594,53630.050781,52468.031250,53229.261719,53229.261719,188380600
2022-02-14,53232.261719,53232.261719,52161.671875,52334.730469,52334.730469,218800100
2022-02-15,52430.351563,53520.230469,52410.289063,53210.941406,53210.941406,189081300
2022-02-16,53188.898438,53901.910156,53051.609375,53680.859375,53680.859375,171986900
2022-02-17,53613.539063,53680.289063,52606.960938,52712.058594,52712.058594,147050500
2022-02-18,52723.488281,52828.519531,52218.308594,52281.531250,52281.531250,126987300
2022-02-21,52281.531250,52302.421875,51762.050781,52025.179688,52025.179688,39446100
2022-02-22,52075.828125,52664.378906,51928.281250,52600.449219,52600.449219,186724800
2022-02-23,52610.628906,52610.628906,51252.648438,51362.949219,51362.949219,259407900
2022-02-24,50727.929688,51589.968750,50003.089844,51454.050781,51454.050781,240722300
2022-02-25,51488.578125,52600.050781,51439.648438,52555.601563,52555.601563,201522500
2022-02-28,52528.710938,53600.121094,51990.910156,53400.609375,53400.609375,951227400
2022-03-01,53403.890625,53855.460938,52880.980469,53168.820313,53168.820313,182506700
2022-03-02,53292.949219,53610.070313,53059.011719,53300.660156,53300.660156,198225700
2022-03-03,53297.789063,54095.648438,53235.570313,53528.011719,53528.011719,216851700
2022-03-04,53450.500000,53450.500000,52691.761719,53322.050781,53322.050781,226441200
2022-03-07,53354.941406,53354.941406,51884.078125,52312.609375,52312.609375,239255300
2022-03-08,52393.460938,53555.910156,52096.011719,53288.230469,53288.230469,266746200
2022-03-09,53202.300781,54000.031250,53202.300781,53911.761719,53911.761719,221895300
