Date,Open,High,Low,Close,Adj Close,Volume
2021-12-14,50.740002,53.000000,50.490002,52.680000,52.200092,2778083
2021-12-15,52.009998,52.009998,50.849998,51.740002,51.268658,504774
2021-12-16,51.790001,52.189999,49.639999,50.900002,50.436310,761784
2021-12-17,50.500000,52.680000,50.240002,52.270000,51.793827,5340242
2021-12-20,51.410000,51.689999,50.139999,50.389999,49.930954,684462
2021-12-21,50.360001,50.880001,49.380001,49.599998,49.148151,922041
2021-12-22,49.230000,50.910000,49.220001,50.759998,50.297581,425172
2021-12-23,50.759998,52.099998,50.180000,50.770000,50.307491,665304
2021-12-24,50.770000,51.860001,50.770000,51.389999,50.921844,14600
2021-12-27,51.630001,52.310001,50.750000,51.209999,50.743484,332165
2021-12-28,51.150002,51.700001,50.610001,51.400002,50.931755,676339
2021-12-29,51.500000,52.320000,50.139999,50.830002,50.366947,418418
2021-12-30,51.200001,51.490002,50.110001,51.209999,50.743484,653383
2021-12-31,51.459999,51.570000,51.060001,51.360001,50.892120,295669
2022-01-03,51.340000,52.209999,51.000000,51.270000,50.802937,395369
2022-01-04,51.240002,52.099998,50.570000,51.139999,50.674122,473579
2022-01-05,51.380001,51.790001,50.340000,50.810001,50.347130,602592
2022-01-06,50.500000,51.200001,49.590000,50.560001,50.099407,760531
2022-01-07,50.110001,51.980000,50.110001,50.910000,50.446217,742235
2022-01-10,50.669998,52.869999,50.150002,51.320000,50.852482,953588
2022-01-11,51.049999,52.849998,51.049999,52.299999,51.823555,1008150
2022-01-12,52.259998,53.750000,52.259998,53.020000,52.536995,2920413
2022-01-13,53.430000,55.990002,53.020000,53.400002,52.913536,2507819
2022-01-14,53.470001,53.470001,52.279999,53.130001,52.645996,1739051
2022-01-17,53.259998,53.880001,52.650002,52.959999,52.477543,8454134
2022-01-18,52.520000,52.900002,51.849998,52.230000,51.754192,572972
2022-01-19,52.230000,52.230000,50.580002,51.110001,50.644398,526328
2022-01-20,51.290001,52.169998,49.490002,49.790001,49.336422,862309
2022-01-21,50.000000,50.230000,48.849998,49.770000,49.316605,424296
2022-01-24,49.450001,49.680000,47.500000,49.299999,48.850883,1064020
2022-01-25,49.080002,49.090000,47.560001,48.799999,48.355438,885651
2022-01-26,48.939999,49.080002,47.570000,47.790001,47.354641,427359
2022-01-27,48.209999,48.299999,46.209999,47.090000,46.661018,453598
2022-01-28,47.369999,47.930000,46.160000,47.220001,46.789833,850955
2022-01-31,47.320000,50.400002,47.320000,49.840000,49.385963,1002901
2022-02-01,50.049999,52.520000,48.919998,49.970001,49.514782,623737
